gene_symbol,ensembl_gene_id,chr,n_instruments_5e8,n_instruments_5e6,has_valid_instrument,single_iv,finan_tier,notes
A1BG,ENSG00000121410,19,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
A2M,ENSG00000175899,12,2,501,TRUE,FALSE,Tier 3B,""
A2ML1,ENSG00000166535,12,0,9,FALSE,FALSE,Tier 3A,no SNP below 5e-8
AADACL2,ENSG00000197953,3,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AADAT,ENSG00000109576,4,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
AAK1,ENSG00000115977,2,0,2,FALSE,FALSE,Tier 1,no SNP below 5e-8
AATK,ENSG00000181409,17,3,935,TRUE,FALSE,Tier 3A,""
ABAT,ENSG00000183044,16,5,1075,TRUE,FALSE,Tier 1,""
ABCA1,ENSG00000165029,9,3,782,TRUE,FALSE,Tier 1,""
ABCA12,ENSG00000144452,2,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ABCA13,ENSG00000179869,7,1,394,TRUE,TRUE,Tier 3B,""
ABCA2,ENSG00000107331,9,2,756,TRUE,FALSE,Tier 3A,""
ABCA3,ENSG00000167972,16,1,217,TRUE,TRUE,Tier 3B,""
ABCA4,ENSG00000198691,1,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCA7,ENSG00000064687,19,3,532,TRUE,FALSE,Tier 2,""
ABCB1,ENSG00000085563,7,2,596,TRUE,FALSE,Tier 1,""
ABCB11,ENSG00000073734,2,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCB4,ENSG00000005471,7,2,658,TRUE,FALSE,Tier 1,""
ABCB5,ENSG00000004846,7,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCB6,ENSG00000115657,2,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
ABCB7,ENSG00000131269,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
ABCB8,ENSG00000197150,7,1,32,TRUE,TRUE,Tier 1,""
ABCC1,ENSG00000103222,16,4,510,TRUE,FALSE,Tier 1,""
ABCC10,ENSG00000124574,6,1,181,TRUE,TRUE,Tier 1,""
ABCC11,ENSG00000121270,16,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCC12,ENSG00000140798,16,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCC2,ENSG00000023839,10,1,526,TRUE,TRUE,Tier 1,""
ABCC3,ENSG00000108846,17,4,855,TRUE,FALSE,Tier 1,""
ABCC4,ENSG00000125257,13,4,1216,TRUE,FALSE,Tier 1,""
ABCC5,ENSG00000114770,3,6,1963,TRUE,FALSE,Tier 1,""
ABCC6,ENSG00000091262,16,1,302,TRUE,TRUE,Tier 1,""
ABCC8,ENSG00000006071,11,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCC9,ENSG00000069431,12,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCG1,ENSG00000160179,21,3,373,TRUE,FALSE,Tier 1,""
ABCG2,ENSG00000118777,4,2,494,TRUE,FALSE,Tier 1,""
ABHD12,ENSG00000100997,20,6,1219,TRUE,FALSE,Tier 1,""
ABHD16A,ENSG00000204427,6,1,11,TRUE,TRUE,Tier 1,""
ABI3BP,ENSG00000154175,3,1,349,TRUE,TRUE,Tier 3B,""
ABL1,ENSG00000097007,9,1,18,TRUE,TRUE,Tier 1,""
ABL2,ENSG00000143322,1,1,363,TRUE,TRUE,Tier 1,""
ACACA,ENSG00000132142,17,2,500,TRUE,FALSE,Tier 2,""
ACACB,ENSG00000076555,12,4,1541,TRUE,FALSE,Tier 2,""
ACAN,ENSG00000157766,15,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ACE,ENSG00000159640,17,1,52,TRUE,TRUE,Tier 1,""
ACE2,ENSG00000130234,X,0,0,FALSE,FALSE,Tier 2,non-autosomal chr skipped
ACHE,ENSG00000087085,7,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
ACKR2,ENSG00000144648,3,1,225,TRUE,TRUE,Tier 3B,""
ACKR3,ENSG00000144476,2,5,363,TRUE,FALSE,Tier 2,""
ACKR4,ENSG00000129048,3,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ACLY,ENSG00000131473,17,1,361,TRUE,TRUE,Tier 2,""
ACP1,ENSG00000143727,2,3,416,TRUE,FALSE,Tier 2,""
ACP2,ENSG00000134575,11,11,2382,TRUE,FALSE,Tier 3A,""
ACP5,ENSG00000102575,19,4,1599,TRUE,FALSE,Tier 3A,""
ACP6,ENSG00000162836,1,3,768,TRUE,FALSE,Tier 3A,""
ACPP,ENSG00000014257,3,11,2014,TRUE,FALSE,Tier 2,""
ACR,ENSG00000100312,22,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
ACRBP,ENSG00000111644,12,1,79,TRUE,TRUE,Tier 3B,""
ACTN1,ENSG00000072110,14,2,477,TRUE,FALSE,Tier 3A,""
ACTN2,ENSG00000077522,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ACTN4,ENSG00000130402,19,2,807,TRUE,FALSE,Tier 3B,""
ACVR1,ENSG00000115170,2,2,334,TRUE,FALSE,Tier 1,""
ACVR1B,ENSG00000135503,12,1,146,TRUE,TRUE,Tier 1,""
ACVR1C,ENSG00000123612,2,1,55,TRUE,TRUE,Tier 3B,""
ACVR2A,ENSG00000121989,2,1,1181,TRUE,TRUE,Tier 2,""
ACVR2B,ENSG00000114739,3,2,596,TRUE,FALSE,Tier 2,""
ACVRL1,ENSG00000139567,12,4,326,TRUE,FALSE,Tier 1,""
ADA,ENSG00000196839,20,3,298,TRUE,FALSE,Tier 1,""
ADAM10,ENSG00000137845,15,3,716,TRUE,FALSE,Tier 1,""
ADAM12,ENSG00000148848,10,2,553,TRUE,FALSE,Tier 1,""
ADAM17,ENSG00000151694,2,2,747,TRUE,FALSE,Tier 1,""
ADAM23,ENSG00000114948,2,2,255,TRUE,FALSE,Tier 3B,""
ADAM28,ENSG00000042980,8,3,806,TRUE,FALSE,Tier 3A,""
ADAM32,ENSG00000197140,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ADAM33,ENSG00000149451,20,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
ADAM8,ENSG00000151651,10,2,551,TRUE,FALSE,Tier 2,""
ADAM9,ENSG00000168615,8,1,546,TRUE,TRUE,Tier 1,""
ADAMDEC1,ENSG00000134028,8,1,469,TRUE,TRUE,Tier 3B,""
ADAMTS1,ENSG00000154734,21,2,311,TRUE,FALSE,Tier 2,""
ADAMTS10,ENSG00000142303,19,1,39,TRUE,TRUE,Tier 3A,""
ADAMTS12,ENSG00000151388,5,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTS13,ENSG00000160323,9,1,236,TRUE,TRUE,Tier 3A,""
ADAMTS14,ENSG00000138316,10,0,1,FALSE,FALSE,Tier 3A,no SNP below 5e-8
ADAMTS15,ENSG00000166106,11,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTS16,ENSG00000145536,5,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ADAMTS17,ENSG00000140470,15,5,672,TRUE,FALSE,Tier 3A,""
ADAMTS18,ENSG00000140873,16,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTS19,ENSG00000145808,5,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTS2,ENSG00000087116,5,1,240,TRUE,TRUE,Tier 3A,""
ADAMTS20,ENSG00000173157,12,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTS3,ENSG00000156140,4,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTS4,ENSG00000158859,1,1,30,TRUE,TRUE,Tier 2,""
ADAMTS5,ENSG00000154736,21,3,355,TRUE,FALSE,Tier 2,""
ADAMTS6,ENSG00000049192,5,1,1092,TRUE,TRUE,Tier 3A,""
ADAMTS7,ENSG00000136378,15,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTS8,ENSG00000134917,11,1,22,TRUE,TRUE,Tier 3A,""
ADAMTS9,ENSG00000163638,3,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTSL1,ENSG00000178031,9,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTSL3,ENSG00000156218,15,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADAMTSL4,ENSG00000143382,1,3,1325,TRUE,FALSE,Tier 3B,""
ADC,ENSG00000142920,1,2,282,TRUE,FALSE,Tier 2,""
ADCK3,ENSG00000163050,1,5,3881,TRUE,FALSE,Tier 2,""
ADCK4,ENSG00000123815,19,1,297,TRUE,TRUE,Tier 2,""
ADCY1,ENSG00000164742,7,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADCY5,ENSG00000173175,3,0,192,FALSE,FALSE,Tier 1,no SNP below 5e-8
ADCYAP1,ENSG00000141433,18,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADCYAP1R1,ENSG00000078549,7,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
ADH1A,ENSG00000187758,4,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADH1B,ENSG00000196616,4,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADH1C,ENSG00000248144,4,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADH4,ENSG00000198099,4,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADH5,ENSG00000197894,4,3,1049,TRUE,FALSE,Tier 1,""
ADH6,ENSG00000172955,4,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADH7,ENSG00000196344,4,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADHFE1,ENSG00000147576,8,4,2496,TRUE,FALSE,Tier 1,""
ADIPOQ,ENSG00000181092,3,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ADK,ENSG00000156110,10,17,1901,TRUE,FALSE,Tier 2,""
ADM,ENSG00000148926,11,2,1903,TRUE,FALSE,Tier 3A,""
ADM2,ENSG00000128165,22,1,197,TRUE,TRUE,Tier 3A,""
ADORA1,ENSG00000163485,1,3,340,TRUE,FALSE,Tier 1,""
ADORA2A,ENSG00000128271,22,1,326,TRUE,TRUE,Tier 1,""
ADORA2B,ENSG00000170425,17,3,1209,TRUE,FALSE,Tier 1,""
ADORA3,ENSG00000121933,1,1,359,TRUE,TRUE,Tier 1,""
ADRA1A,ENSG00000120907,8,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADRA1B,ENSG00000170214,5,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADRA1D,ENSG00000171873,20,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADRA2A,ENSG00000150594,10,1,57,TRUE,TRUE,Tier 1,""
ADRA2B,ENSG00000222040,2,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADRA2C,ENSG00000184160,4,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADRB1,ENSG00000043591,10,3,362,TRUE,FALSE,Tier 1,""
ADRB2,ENSG00000169252,5,3,111,TRUE,FALSE,Tier 1,""
ADRB3,ENSG00000188778,8,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ADRBK1,ENSG00000173020,11,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
ADRBK2,ENSG00000100077,22,2,281,TRUE,FALSE,Tier 3B,""
AEBP1,ENSG00000106624,7,2,740,TRUE,FALSE,Tier 3A,""
AFM,ENSG00000079557,4,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
AFP,ENSG00000081051,4,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
AGA,ENSG00000038002,4,9,1513,TRUE,FALSE,Tier 3A,""
AGER,ENSG00000204305,6,3,5258,TRUE,FALSE,Tier 3A,""
AGGF1,ENSG00000164252,5,1,108,TRUE,TRUE,Tier 3B,""
AGPAT2,ENSG00000169692,9,1,58,TRUE,TRUE,Tier 2,""
AGR2,ENSG00000106541,7,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AGR3,ENSG00000173467,7,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AGRN,ENSG00000188157,1,1,77,TRUE,TRUE,Tier 3A,""
AGRP,ENSG00000159723,16,2,536,TRUE,FALSE,Tier 3B,""
AGT,ENSG00000135744,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AGTR1,ENSG00000144891,3,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
AGTR2,ENSG00000180772,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
AHCY,ENSG00000101444,20,1,13,TRUE,TRUE,Tier 2,""
AHR,ENSG00000106546,7,3,813,TRUE,FALSE,Tier 1,""
AHSG,ENSG00000145192,3,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AIMP1,ENSG00000164022,4,1,445,TRUE,TRUE,Tier 3B,""
AKR1A1,ENSG00000117448,1,1,603,TRUE,TRUE,Tier 1,""
AKR1B1,ENSG00000085662,7,3,1401,TRUE,FALSE,Tier 1,""
AKR1B10,ENSG00000198074,7,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
AKR1C1,ENSG00000187134,10,3,918,TRUE,FALSE,Tier 1,""
AKR1C2,ENSG00000151632,10,5,1941,TRUE,FALSE,Tier 2,""
AKR1C3,ENSG00000196139,10,3,1185,TRUE,FALSE,Tier 1,""
AKT1,ENSG00000142208,14,2,543,TRUE,FALSE,Tier 1,""
AKT1S1,ENSG00000204673,19,0,0,FALSE,FALSE,Tier 2,no SNP below 5e-8
AKT2,ENSG00000105221,19,1,154,TRUE,TRUE,Tier 1,""
AKT3,ENSG00000117020,1,2,311,TRUE,FALSE,Tier 1,""
ALB,ENSG00000163631,4,1,93,TRUE,TRUE,Tier 2,""
ALCAM,ENSG00000170017,3,4,1452,TRUE,FALSE,Tier 3B,""
ALDH16A1,ENSG00000161618,19,2,296,TRUE,FALSE,Tier 3B,""
ALDH1A1,ENSG00000165092,9,3,2232,TRUE,FALSE,Tier 1,""
ALDH1A2,ENSG00000128918,15,2,92,TRUE,FALSE,Tier 1,""
ALDH1A3,ENSG00000184254,15,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ALDH1B1,ENSG00000137124,9,2,62,TRUE,FALSE,Tier 1,""
ALDH1L1,ENSG00000144908,3,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ALDH1L2,ENSG00000136010,12,0,9,FALSE,FALSE,Tier 3B,no SNP below 5e-8
ALDH2,ENSG00000111275,12,4,1211,TRUE,FALSE,Tier 1,""
ALDH3A1,ENSG00000108602,17,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ALDH3A2,ENSG00000072210,17,1,407,TRUE,TRUE,Tier 1,""
ALDH3B1,ENSG00000006534,11,3,529,TRUE,FALSE,Tier 3B,""
ALDH3B2,ENSG00000132746,11,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
ALDH4A1,ENSG00000159423,1,1,127,TRUE,TRUE,Tier 1,""
ALDH5A1,ENSG00000112294,6,5,1474,TRUE,FALSE,Tier 1,""
ALDH6A1,ENSG00000119711,14,2,466,TRUE,FALSE,Tier 1,""
ALDH7A1,ENSG00000164904,5,3,408,TRUE,FALSE,Tier 1,""
ALDH8A1,ENSG00000118514,6,2,913,TRUE,FALSE,Tier 1,""
ALDH9A1,ENSG00000143149,1,4,1050,TRUE,FALSE,Tier 1,""
ALDOA,ENSG00000149925,16,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
ALK,ENSG00000171094,2,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
ALOX12,ENSG00000108839,17,2,240,TRUE,FALSE,Tier 2,""
ALOX12B,ENSG00000179477,17,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
ALOX15,ENSG00000161905,17,2,506,TRUE,FALSE,Tier 1,""
ALOX15B,ENSG00000179593,17,3,370,TRUE,FALSE,Tier 3B,""
ALOX5,ENSG00000012779,10,4,1294,TRUE,FALSE,Tier 1,""
ALOX5AP,ENSG00000132965,13,3,597,TRUE,FALSE,Tier 1,""
ALOXE3,ENSG00000179148,17,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
ALPI,ENSG00000163295,2,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
ALPL,ENSG00000162551,1,1,257,TRUE,TRUE,Tier 2,""
ALPP,ENSG00000163283,2,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ALPPL2,ENSG00000163286,2,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
AMBN,ENSG00000178522,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AMBP,ENSG00000106927,9,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AMD1,ENSG00000123505,6,1,478,TRUE,TRUE,Tier 1,""
AMELX,ENSG00000125363,X,0,0,FALSE,FALSE,Tier 3B,non-autosomal chr skipped
AMELY,ENSG00000099721,Y,0,0,FALSE,FALSE,Tier 3B,non-autosomal chr skipped
AMH,ENSG00000104899,19,1,369,TRUE,TRUE,Tier 3A,""
AMHR2,ENSG00000135409,12,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AMICA1,ENSG00000160593,11,6,872,TRUE,FALSE,Tier 3A,""
AMOT,ENSG00000126016,X,0,0,FALSE,FALSE,Tier 3B,non-autosomal chr skipped
AMPD1,ENSG00000116748,1,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
AMPD2,ENSG00000116337,1,0,0,FALSE,FALSE,Tier 2,no SNP below 5e-8
AMPD3,ENSG00000133805,11,4,671,TRUE,FALSE,Tier 2,""
AMTN,ENSG00000187689,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AMY1A,ENSG00000237763,1,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
AMY1B,ENSG00000174876,1,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
AMY1C,ENSG00000187733,1,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
AMY2A,ENSG00000243480,1,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
AMY2B,ENSG00000240038,1,4,963,TRUE,FALSE,Tier 2,""
ANG,ENSG00000214274,14,6,588,TRUE,FALSE,Tier 3B,""
ANGPT1,ENSG00000154188,8,6,1493,TRUE,FALSE,Tier 1,""
ANGPT2,ENSG00000091879,8,2,350,TRUE,FALSE,Tier 1,""
ANGPT4,ENSG00000101280,20,1,58,TRUE,TRUE,Tier 3A,""
ANGPTL1,ENSG00000116194,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ANGPTL2,ENSG00000136859,9,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ANGPTL3,ENSG00000132855,1,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ANGPTL4,ENSG00000167772,19,0,0,FALSE,FALSE,Tier 3A,no SNP below 5e-8
ANGPTL6,ENSG00000130812,19,2,175,TRUE,FALSE,Tier 3A,""
ANGPTL7,ENSG00000171819,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ANKK1,ENSG00000170209,11,4,666,TRUE,FALSE,Tier 1,""
ANPEP,ENSG00000166825,15,6,1136,TRUE,FALSE,Tier 2,""
ANTXR2,ENSG00000163297,4,2,1033,TRUE,FALSE,Tier 3A,""
ANXA1,ENSG00000135046,9,4,1545,TRUE,FALSE,Tier 3A,""
ANXA2,ENSG00000182718,15,3,484,TRUE,FALSE,Tier 3B,""
AOAH,ENSG00000136250,7,6,1820,TRUE,FALSE,Tier 3A,""
AOC1,ENSG00000002726,7,4,1596,TRUE,FALSE,Tier 2,""
AOC2,ENSG00000131480,17,0,37,FALSE,FALSE,Tier 2,no SNP below 5e-8
AOC3,ENSG00000131471,17,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
AOX1,ENSG00000138356,2,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
APAF1,ENSG00000120868,12,3,585,TRUE,FALSE,Tier 2,""
APCS,ENSG00000132703,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
APEX1,ENSG00000100823,14,2,139,TRUE,FALSE,Tier 1,""
APH1A,ENSG00000117362,1,1,306,TRUE,TRUE,Tier 1,""
APH1B,ENSG00000138613,15,5,1511,TRUE,FALSE,Tier 1,""
APLN,ENSG00000171388,X,0,0,FALSE,FALSE,Tier 3B,non-autosomal chr skipped
APLNR,ENSG00000134817,11,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
APLP1,ENSG00000105290,19,0,22,FALSE,FALSE,Tier 3B,no SNP below 5e-8
APOA1,ENSG00000118137,11,0,0,FALSE,FALSE,Tier 3A,no SNP below 5e-8
APOA1BP,ENSG00000163382,1,2,473,TRUE,FALSE,Tier 3B,""
APOA2,ENSG00000158874,1,1,292,TRUE,TRUE,Tier 3B,""
APOA4,ENSG00000110244,11,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
APOA5,ENSG00000110243,11,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
APOB,ENSG00000084674,2,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
APOBEC3A,ENSG00000128383,22,4,764,TRUE,FALSE,Tier 2,""
APOBEC3G,ENSG00000239713,22,5,687,TRUE,FALSE,Tier 2,""
APOC1,ENSG00000130208,19,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
APOC2,ENSG00000234906,19,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
APOC3,ENSG00000110245,11,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
APOC4-APOC2,ENSG00000224916,19,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
APOD,ENSG00000189058,3,1,107,TRUE,TRUE,Tier 3B,""
APOE,ENSG00000130203,19,0,0,FALSE,FALSE,Tier 3A,no SNP below 5e-8
APOF,ENSG00000175336,12,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
APOH,ENSG00000091583,17,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
APOL1,ENSG00000100342,22,1,113,TRUE,TRUE,Tier 3A,""
APOM,ENSG00000204444,6,1,1143,TRUE,TRUE,Tier 3A,""
APOO,ENSG00000184831,X,0,0,FALSE,FALSE,Tier 3B,non-autosomal chr skipped
APP,ENSG00000142192,21,2,953,TRUE,FALSE,Tier 1,""
AQP1,ENSG00000240583,7,1,24,TRUE,TRUE,Tier 3A,""
AQP4,ENSG00000171885,18,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AR,ENSG00000169083,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
ARAF,ENSG00000078061,X,0,0,FALSE,FALSE,Tier 2,non-autosomal chr skipped
AREG,ENSG00000109321,4,0,0,FALSE,FALSE,Tier 2,no SNP below 5e-8
AREGB,ENSG00000205595,4,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
ARNT,ENSG00000143437,1,2,1028,TRUE,FALSE,Tier 1,""
ARSA,ENSG00000100299,22,3,1136,TRUE,FALSE,Tier 1,""
ARSG,ENSG00000141337,17,3,452,TRUE,FALSE,Tier 3B,""
ARSI,ENSG00000183876,5,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ART1,ENSG00000129744,11,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ART4,ENSG00000111339,12,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ARTN,ENSG00000117407,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ASGR1,ENSG00000141505,17,2,166,TRUE,FALSE,Tier 3A,""
ASIC1,ENSG00000110881,12,5,372,TRUE,FALSE,Tier 2,""
ASIC2,ENSG00000108684,17,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
ASIC3,ENSG00000213199,7,1,67,TRUE,TRUE,Tier 2,""
ASIC5,ENSG00000256394,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ASIP,ENSG00000101440,20,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
ASPN,ENSG00000106819,9,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ATF1,ENSG00000123268,12,2,1826,TRUE,FALSE,Tier 2,""
ATG4B,ENSG00000168397,2,2,523,TRUE,FALSE,Tier 2,""
ATG4C,ENSG00000125703,1,2,652,TRUE,FALSE,Tier 3B,""
ATIC,ENSG00000138363,2,2,398,TRUE,FALSE,Tier 2,""
ATM,ENSG00000149311,11,1,67,TRUE,TRUE,Tier 2,""
ATP12A,ENSG00000075673,13,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
ATP1A1,ENSG00000163399,1,0,1,FALSE,FALSE,Tier 1,no SNP below 5e-8
ATP1A2,ENSG00000018625,1,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ATP1A3,ENSG00000105409,19,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
ATP1A4,ENSG00000132681,1,3,553,TRUE,FALSE,Tier 1,""
ATP1B1,ENSG00000143153,1,5,1876,TRUE,FALSE,Tier 3B,""
ATP1B2,ENSG00000129244,17,1,357,TRUE,TRUE,Tier 3B,""
ATP1B3,ENSG00000069849,3,2,371,TRUE,FALSE,Tier 3B,""
ATP2A1,ENSG00000196296,16,1,375,TRUE,TRUE,Tier 3A,""
ATP2A2,ENSG00000174437,12,3,806,TRUE,FALSE,Tier 3B,""
ATP2A3,ENSG00000074370,17,2,459,TRUE,FALSE,Tier 3A,""
ATP2B2,ENSG00000157087,3,1,60,TRUE,TRUE,Tier 3A,""
ATP2B3,ENSG00000067842,X,0,0,FALSE,FALSE,Tier 3A,non-autosomal chr skipped
ATP2B4,ENSG00000058668,1,1,134,TRUE,TRUE,Tier 3A,""
ATP2C1,ENSG00000017260,3,1,459,TRUE,TRUE,Tier 3B,""
ATP2C2,ENSG00000064270,16,1,323,TRUE,TRUE,Tier 3B,""
ATP4A,ENSG00000105675,19,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ATP4B,ENSG00000186009,13,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ATP6AP2,ENSG00000182220,X,0,0,FALSE,FALSE,Tier 3B,non-autosomal chr skipped
ATP6V1B1,ENSG00000116039,2,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
ATP7A,ENSG00000165240,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
ATP7B,ENSG00000123191,13,3,831,TRUE,FALSE,Tier 1,""
ATR,ENSG00000175054,3,1,5,TRUE,TRUE,Tier 2,""
ATRAID,ENSG00000138085,2,3,977,TRUE,FALSE,Tier 3B,""
ATRN,ENSG00000088812,20,2,172,TRUE,FALSE,Tier 3B,""
AURKA,ENSG00000087586,20,2,80,TRUE,FALSE,Tier 1,""
AURKAIP1,ENSG00000175756,1,1,43,TRUE,TRUE,Tier 1,""
AURKB,ENSG00000178999,17,1,323,TRUE,TRUE,Tier 1,""
AURKC,ENSG00000105146,19,2,164,TRUE,FALSE,Tier 1,""
AVP,ENSG00000101200,20,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AVPR1A,ENSG00000166148,12,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
AVPR1B,ENSG00000198049,1,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
AVPR2,ENSG00000126895,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
AXIN2,ENSG00000168646,17,4,1637,TRUE,FALSE,Tier 2,""
